id,buggy-org,buggy,fixed-org,fixed,check1,check2
14681,"private java.lang.Integer METHOD_1 ( java.lang.String VAR_1 ) { java.lang.String [ ] VAR_2 = VAR_1 . split ( STRING_1 ) ; return java.lang.Integer . METHOD_2 ( VAR_2 [ 0 ] ) ; } 
","private java.lang.Integer METHOD_1 ( java.lang.String VAR_1 ) { java.lang.String [ ] VAR_2 = VAR_1 . split ( STRING_1 ) ; return java.lang.Integer . METHOD_2 ( VAR_2 [ 0 ] ) ; } 
","private java.lang.Integer METHOD_1 ( java.lang.String VAR_1 ) { java.lang.String [ ] VAR_2 = VAR_1 . split ( STRING_1 ) ; return java.lang.Integer.parseInt ( VAR_2 [ 0 ] ) ; } 
","private java.lang.Integer METHOD_1 ( java.lang.String VAR_1 ) { java.lang.String [ ] VAR_2 = VAR_1 . split ( STRING_1 ) ; return java.lang.Integer.METHOD_2 ( VAR_2 [ 0 ] ) ; } 
",1,0
29148,"public static void METHOD_1 ( java.lang.Long id , java.util.ArrayList < TYPE_1 > VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_2 , id ) ; } } 
","public static void METHOD_1 ( java.lang.Long id , java.util.ArrayList < TYPE_1 > VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_2 , VAR_2 ) ; } } 
","public static void METHOD_1 ( java.lang.Long id , java.util.ArrayList < TYPE_1 > VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_1 ) { TYPE_2 . METHOD_2 ( id , VAR_2 ) ; } } 
","public static void METHOD_1 ( java.lang.Long id , java.util.ArrayList < TYPE_1 > VAR_1 ) { for ( TYPE_1 VAR_2 : VAR_1 ) { TYPE_2 . METHOD_2 ( VAR_2 , VAR_2 ) ; } } 
",-2,-2
39519,"void METHOD_1 ( ) { VAR_1 . METHOD_2 ( false , false , STRING_1 ) ; } 
","void METHOD_1 ( ) { VAR_1 . METHOD_2 ( false , false , STRING_1 ) ; } 
","public void execute ( ) { VAR_1 . METHOD_2 ( false , false , STRING_1 ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( false , false , STRING_1 ) ; } 
",-2,-2
41633,"public java.lang.String METHOD_1 ( ) { return super . getData ( ) ; } 
","public java.lang.String METHOD_1 ( ) { return super . getData ( ) ; } 
","public java.lang.String getData ( ) { return super . getData ( ) ; } 
","public java.lang.String METHOD_1 ( ) { return super . getData ( ) ; } 
",-2,-2
21314,"public void set ( TYPE_1 time , TYPE_2 VAR_1 , TYPE_3 VAR_2 ) { METHOD_1 ( time . METHOD_2 ( ) ) ; this . VAR_1 . set ( VAR_1 ) ; this . VAR_2 . set ( VAR_2 ) ; } 
","public void set ( TYPE_1 time , TYPE_2 VAR_1 , TYPE_3 VAR_2 ) { METHOD_1 ( time . METHOD_2 ( ) ) ; this . VAR_1 . set ( VAR_1 ) ; this . VAR_2 . set ( VAR_2 ) ; } 
","public void set ( TYPE_1 time , TYPE_2 VAR_1 , TYPE_3 VAR_2 ) { this . time . set ( time . METHOD_2 ( ) ) ; this . VAR_1 . set ( VAR_1 ) ; this . VAR_2 . set ( VAR_2 ) ; } 
","public void set ( TYPE_1 time , TYPE_2 VAR_1 , TYPE_3 VAR_2 ) { this . time . METHOD_1 ( time . METHOD_2 ( ) ) ; this . VAR_1 . set ( VAR_1 ) ; this . VAR_2 . set ( VAR_2 ) ; } 
",-2,-2
17459,"public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String ... names ) { for ( java.lang.String name : names ) { int position = METHOD_2 ( name ) ; METHOD_1 ( VAR_1 , position ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String ... names ) { for ( java.lang.String name : names ) { int position = METHOD_2 ( name ) ; METHOD_1 ( VAR_1 , VAR_1 ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String ... names ) { for ( java.lang.String name : names ) { int position = METHOD_2 ( name ) ; METHOD_1 ( position , VAR_1 ) ; } } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String ... names ) { for ( java.lang.String name : names ) { int position = METHOD_2 ( name ) ; METHOD_1 ( VAR_1 , VAR_1 ) ; } } 
",-2,-2
11907,"public static < TYPE_1 extends TYPE_2 > java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { return TYPE_3 . METHOD_2 ( VAR_1 . METHOD_3 ( ) . METHOD_4 ( ) ) ; } 
","public static < TYPE_1 extends TYPE_2 > java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { return TYPE_3 . METHOD_2 ( VAR_1 . METHOD_3 ( ) . METHOD_4 ( ) ) ; } 
","public static < TYPE_1 extends TYPE_2 > java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { return java.util.Arrays.asList ( ( ( TYPE_1 [ ] ) ( VAR_1 . METHOD_3 ( ) . METHOD_4 ( ) ) ) ) ; } 
","public static < TYPE_1 extends TYPE_2 > java.util.List < TYPE_1 > METHOD_1 ( TYPE_1 VAR_1 ) { return java.util.Arrays.METHOD_2 ( ( ( TYPE_1 [ ] ) ( VAR_1 . METHOD_3 ( ) . METHOD_4 ( ) ) ) ) ; } 
",1,1
15117,"public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; this . METHOD_3 ( ) ; return super . add ( VAR_1 ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; this . METHOD_3 ( ) ; return super . add ( VAR_1 ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . info ( ( STRING_1 + VAR_1 ) ) ; this . METHOD_3 ( ) ; return super . add ( VAR_1 ) ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 ) { VAR_2 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; this . METHOD_3 ( ) ; return super . add ( VAR_1 ) ; } 
",-2,-2
33647,"protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; } 
","protected void METHOD_1 ( TYPE_1 VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; } 
","protected void METHOD_1 ( java.lang.String result ) { super . METHOD_1 ( result ) ; } 
","protected void METHOD_1 ( java.lang.String VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; } 
",-2,-2
25349,"public java.lang.String get ( java.lang.String id ) { return VAR_1 . getString ( STRING_1 ) ; } 
","public java.lang.String get ( java.lang.String id ) { return VAR_1 . getString ( STRING_1 ) ; } 
","public java.lang.String get ( java.lang.String id ) { return VAR_1 . getString ( id ) ; } 
","public java.lang.String get ( java.lang.String id ) { return VAR_1 . getString ( STRING_1 ) ; } 
",-2,-2
46326,"public TYPE_1 [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , TYPE_2 VAR_3 ) throws TYPE_3 { VAR_4 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; return null ; } 
","public TYPE_1 [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , TYPE_2 VAR_3 ) throws TYPE_3 { VAR_4 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; return null ; } 
","public TYPE_1 [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , TYPE_2 VAR_3 ) throws TYPE_3 { VAR_4 . info ( ( STRING_1 + VAR_1 ) ) ; return null ; } 
","public TYPE_1 [ ] METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , TYPE_2 VAR_3 ) throws TYPE_3 { VAR_4 . METHOD_2 ( ( STRING_1 + VAR_1 ) ) ; return null ; } 
",-2,-2
9,"public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( STRING_1 ) ; if ( VAR_2 . METHOD_3 ( ) ) { VAR_1 . info ( STRING_2 ) ; return ; } METHOD_4 ( ) ; METHOD_5 ( ) ; METHOD_6 ( ) ; } 
","public void METHOD_1 ( ) { VAR_1 . METHOD_2 ( STRING_1 ) ; if ( VAR_2 . METHOD_3 ( ) ) { VAR_1 . METHOD_2 ( STRING_2 ) ; return ; } METHOD_4 ( ) ; METHOD_5 ( ) ; METHOD_6 ( ) ; } 
","public void METHOD_1 ( ) { if ( VAR_2 . METHOD_3 ( ) ) { VAR_1 . METHOD_2 ( STRING_2 ) ; return ; } METHOD_4 ( ) ; METHOD_5 ( ) ; METHOD_6 ( ) ; } 
","public void METHOD_1 ( ) { if ( VAR_2 . METHOD_3 ( ) ) { VAR_1 . METHOD_2 ( STRING_2 ) ; return ; } METHOD_4 ( ) ; METHOD_5 ( ) ; METHOD_6 ( ) ; } 
",-2,-2
41257,"public void delete ( ) { METHOD_1 ( new TYPE_1 < > ( new TYPE_2 < TYPE_3 > ( ) { public void METHOD_2 ( TYPE_3 VAR_1 ) { VAR_1 . delete ( ) ; } } ) . build ( ) ) ; } 
","public void delete ( ) { METHOD_1 ( new TYPE_1 < > ( new TYPE_2 < TYPE_3 > ( ) { public void METHOD_2 ( TYPE_3 VAR_1 ) { VAR_1 . delete ( ) ; } } ) . build ( ) ) ; } 
","public void delete ( ) { METHOD_1 ( new TYPE_1 < > ( new TYPE_2 < TYPE_3 > ( ) { public void METHOD_2 ( TYPE_3 VAR_1 ) { VAR_1 . delete ( ) ; } } ) . add ( VAR_1 ) . build ( ) ) ; } 
","public void delete ( ) { METHOD_1 ( new TYPE_1 < > ( new TYPE_2 < TYPE_3 > ( ) { public void METHOD_2 ( TYPE_3 VAR_1 ) { VAR_1 . delete ( ) ; } } ) . add ( VAR_1 ) . METHOD_1 ( ) ) ; } 
",1,1
12638,"public static boolean contains ( java.lang.String key ) { TYPE_1 VAR_1 = TYPE_1 . METHOD_1 ( VAR_2 ) ; java.lang.String VAR_3 = TYPE_2 . METHOD_2 ( VAR_4 , key , VAR_5 ) ; return TYPE_3 . METHOD_3 ( VAR_1 , VAR_3 ) ; } 
","public static boolean METHOD_3 ( java.lang.String key ) { TYPE_1 VAR_1 = TYPE_1 . METHOD_1 ( VAR_2 ) ; java.lang.String VAR_3 = TYPE_2 . METHOD_2 ( VAR_4 , key , VAR_5 ) ; return TYPE_3 . METHOD_3 ( VAR_1 , VAR_3 ) ; } 
","private static boolean METHOD_3 ( java.lang.String key ) { return ( TYPE_1 . METHOD_1 ( VAR_2 ) . get ( key , null ) ) != null ; } 
","private static boolean METHOD_3 ( java.lang.String key ) { return ( TYPE_1 . METHOD_1 ( VAR_2 ) . get ( key , null ) ) != null ; } 
",-1,-2
7166,"public void METHOD_1 ( TYPE_1 event ) { java.lang.String x = STRING_1 ; TYPE_2 j = new TYPE_2 ( ) ; j . METHOD_2 ( null , x , STRING_2 , VAR_1 , new TYPE_3 ( STRING_3 ) ) ; } 
","public void METHOD_1 ( TYPE_1 event ) { java.lang.String x = STRING_1 ; TYPE_2 j = new TYPE_2 ( ) ; TYPE_2 . METHOD_2 ( null , x , STRING_2 , VAR_1 , new TYPE_3 ( STRING_3 ) ) ; } 
","public void METHOD_1 ( TYPE_1 event ) { java.lang.String x = STRING_1 ; new TYPE_2 ( ) ; TYPE_2 . METHOD_2 ( null , x , STRING_2 , VAR_1 , new TYPE_3 ( STRING_3 ) ) ; } 
","public void METHOD_1 ( TYPE_1 event ) { java.lang.String x = STRING_1 ; new TYPE_2 ( ) ; TYPE_2 . METHOD_2 ( null , x , STRING_2 , VAR_1 , new TYPE_3 ( STRING_3 ) ) ; } 
",-2,-2
32179,"int size ( ) { return VAR_1 . size ( ) ; } 
","int size ( ) { return VAR_1 . size ( ) ; } 
","int size ( ) { return list . size ( ) ; } 
","int size ( ) { return VAR_1 . size ( ) ; } 
",-2,-2
18920,"boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) ; 
","boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) ; 
","boolean METHOD_1 ( java.lang.String type , java.lang.String value ) ; 
","boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 ) ; 
",-2,-2
24682,"public void METHOD_1 ( ) { TYPE_1 . assertThat ( VAR_1 . get ( STRING_1 ) , TYPE_2 . METHOD_2 ( TYPE_2 . METHOD_3 ( ) ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertThat ( VAR_1 . get ( STRING_1 ) , TYPE_2 . METHOD_2 ( TYPE_2 . METHOD_3 ( ) ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertThat ( VAR_1 . get ( key ) , TYPE_2 . METHOD_2 ( TYPE_2 . METHOD_3 ( ) ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 . assertThat ( VAR_1 . get ( STRING_1 ) , TYPE_2 . METHOD_2 ( TYPE_2 . METHOD_3 ( ) ) ) ; } 
",-2,-2
42678,"public boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 ) { try { VAR_4 = TYPE_1 . METHOD_2 ( url , VAR_2 , VAR_3 ) ; } catch ( java.lang.Exception VAR_5 ) { return false ; } return true ; } 
","public boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 ) { try { VAR_4 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } catch ( java.lang.Exception VAR_5 ) { return false ; } return true ; } 
","public boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 ) { try { VAR_4 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } catch ( java.lang.Exception VAR_5 ) { return false ; } return true ; } 
","public boolean METHOD_1 ( java.lang.String VAR_1 , java.lang.String VAR_2 , java.lang.String VAR_3 ) { try { VAR_4 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_2 , VAR_3 ) ; } catch ( java.lang.Exception VAR_5 ) { return false ; } return true ; } 
",-2,-2
17362,"public void METHOD_1 ( int VAR_1 , int height ) { if ( ( VAR_2 ) == null ) return ; VAR_2 . METHOD_1 ( VAR_1 , VAR_1 ) ; } 
","public void METHOD_1 ( int VAR_1 , int height ) { if ( ( VAR_2 ) == null ) return ; VAR_2 . METHOD_1 ( VAR_1 , VAR_1 ) ; } 
","public void METHOD_1 ( int VAR_1 , int height ) { if ( ( VAR_2 ) == null ) return ; VAR_2 . METHOD_1 ( VAR_1 , height ) ; } 
","public void METHOD_1 ( int VAR_1 , int height ) { if ( ( VAR_2 ) == null ) return ; VAR_2 . METHOD_1 ( VAR_1 , VAR_1 ) ; } 
",-2,-2
25743,"public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , TYPE_3 node ) ; 
","public TYPE_1 METHOD_1 ( TYPE_2 VAR_1 , TYPE_3 node ) ; 
","public TYPE_1 METHOD_1 ( java.lang.String name , TYPE_3 node ) ; 
","public TYPE_1 METHOD_1 ( java.lang.String VAR_1 , TYPE_3 node ) ; 
",-2,-2
13819,"public < TYPE_1 > void METHOD_1 ( java.lang.Class < TYPE_1 > VAR_1 ) { TYPE_2 VAR_2 = METHOD_2 ( VAR_1 ) ; execute ( new TYPE_3 ( ) . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) . METHOD_1 ( true ) . build ( ) ) ; } 
","public < TYPE_1 > void METHOD_1 ( java.lang.Class < TYPE_1 > VAR_1 ) { TYPE_2 VAR_2 = METHOD_2 ( VAR_1 ) ; execute ( new TYPE_3 ( ) . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) . METHOD_1 ( true ) . build ( ) ) ; } 
","public < TYPE_1 > void METHOD_1 ( java.lang.Class < TYPE_1 > VAR_1 ) { TYPE_2 VAR_2 = METHOD_2 ( VAR_1 ) ; execute ( new TYPE_3 ( ) . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) . build ( ) ) ; } 
","public < TYPE_1 > void METHOD_1 ( java.lang.Class < TYPE_1 > VAR_1 ) { TYPE_2 VAR_2 = METHOD_2 ( VAR_1 ) ; execute ( new TYPE_3 ( ) . METHOD_3 ( VAR_2 . METHOD_4 ( ) ) . METHOD_1 ( ) ) ; } 
",2,2
26590,"public void METHOD_1 ( java.lang.String VAR_1 ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; } 
","public void delete ( java.lang.String VAR_1 ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { TYPE_1 . METHOD_2 ( VAR_1 ) ; } 
",-2,-2
28847,"public boolean METHOD_1 ( java.lang.String name ) { return ! ( this . VAR_1 . METHOD_2 ( name ) ) ; } 
","public boolean METHOD_1 ( java.lang.String name ) { return ! ( this . VAR_1 . METHOD_2 ( VAR_1 ) ) ; } 
","public boolean METHOD_1 ( java.lang.String name ) { return ! ( name . METHOD_2 ( VAR_1 ) ) ; } 
","public boolean METHOD_1 ( java.lang.String name ) { return ! ( name . METHOD_2 ( VAR_1 ) ) ; } 
",-2,-2
25372,"public void METHOD_1 ( TYPE_1 VAR_1 ) { this . VAR_2 . put ( VAR_1 , ( ( this . VAR_2 . get ( VAR_1 ) . intValue ( ) ) - 1 ) ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { this . VAR_2 . put ( VAR_1 , ( ( this . VAR_2 . get ( VAR_1 ) . intValue ( ) ) - 1 ) ) ; } 
","public void remove ( TYPE_1 VAR_1 ) { this . VAR_2 . put ( VAR_1 , ( ( this . VAR_2 . get ( VAR_1 ) . intValue ( ) ) - 1 ) ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { this . VAR_2 . put ( VAR_1 , ( ( this . VAR_2 . get ( VAR_1 ) . intValue ( ) ) - 1 ) ) ; } 
",-2,-2
11281,"public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent VAR_2 = new android.content.Intent ( this , VAR_3 class ) ; METHOD_2 ( VAR_2 ) ; METHOD_3 ( VAR_4 , VAR_5 ) ; } 
","public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent VAR_2 = new android.content.Intent ( this , VAR_3 class ) ; METHOD_2 ( VAR_2 ) ; METHOD_3 ( VAR_4 , VAR_5 ) ; } 
","public void METHOD_1 ( android.view.View view ) { android.content.Intent VAR_2 = new android.content.Intent ( this , VAR_3 class ) ; METHOD_2 ( VAR_2 ) ; METHOD_3 ( VAR_4 , VAR_5 ) ; } 
","public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent VAR_2 = new android.content.Intent ( this , VAR_3 class ) ; METHOD_2 ( VAR_2 ) ; METHOD_3 ( VAR_4 , VAR_5 ) ; } 
",-2,-2
20020,"public static void METHOD_1 ( final TYPE_1 VAR_1 , long VAR_2 ) { TYPE_2 VAR_3 = ( ( TYPE_2 ) ( VAR_1 . METHOD_2 ( VAR_4 ) ) ) ; VAR_3 . METHOD_3 ( VAR_2 ) ; } 
","public static void METHOD_1 ( final TYPE_1 VAR_1 , long VAR_2 ) { TYPE_2 VAR_3 = ( ( TYPE_2 ) ( VAR_1 . METHOD_2 ( VAR_4 ) ) ) ; VAR_3 . METHOD_3 ( VAR_2 ) ; } 
","public static void METHOD_1 ( android.content.Context context , long VAR_2 ) { TYPE_2 VAR_3 = ( ( TYPE_2 ) ( context . METHOD_2 ( VAR_4 ) ) ) ; VAR_3 . METHOD_3 ( VAR_2 ) ; } 
","public static void METHOD_1 ( android.content.Context VAR_1 , long VAR_2 ) { TYPE_2 VAR_3 = ( ( TYPE_2 ) ( VAR_1 . METHOD_2 ( VAR_4 ) ) ) ; VAR_3 . METHOD_3 ( VAR_2 ) ; } 
",-1,-2
35786,"public boolean METHOD_1 ( ) { return VAR_1 . METHOD_2 ( TYPE_1 . toString ( ) ) ; } 
","public boolean METHOD_1 ( ) { return VAR_1 . METHOD_2 ( TYPE_1 . toString ( ) ) ; } 
","public boolean METHOD_1 ( ) { return ( VAR_1 . get ( TYPE_1 . toString ( ) , 0 ) ) > 0 ; } 
","public boolean METHOD_1 ( ) { return ( VAR_1 . METHOD_2 ( TYPE_1 . toString ( ) , 0 ) ) > 0 ; } 
",-2,-2
